,Value
2754,13
2755,10
2756,13
2757,12
2758,9
2759,12
2760,13
2761,15
2762,9
2763,12
2764,8
2765,9
2766,9
2767,8
2768,10
2769,9
2770,10
2771,9
2772,8
2773,11
2774,7
2775,9
2776,9
2777,8
2778,7
2779,14
2780,12
2781,15
2782,16
2783,13
2784,12
2785,15
2786,12
2787,12
2788,10
2789,9
2790,10
2791,14
2792,13
2793,17
2794,12
2795,11
2796,16
2797,16
2798,15
2799,11
2800,9
2801,10
2802,6
2803,8
2804,13
2805,6
2806,8
2807,6
2808,15
2809,12
2810,15
2811,6
2812,8
2813,7
2814,18
2815,17
2816,15
2817,12
2818,13
2819,14
2820,21
2821,18
2822,15
2823,14
2824,12
2825,15
2826,13
2827,14
2828,16
2829,15
2830,17
2831,16
2832,11
2833,11
2834,17
2835,11
2836,9
2837,10
2838,10
2839,9
2840,11
2841,7
2842,5
2843,5
2844,8
2845,6
2846,7
2847,11
2848,12
2849,14
2850,15
2851,13
2852,8
2853,8
2854,6
2855,8
2856,7
2857,9
2858,10
2859,11
2860,9
2861,12
2862,9
2863,13
2864,14
2865,13
2866,16
2867,8
2868,6
2869,5
2870,9
2871,8
2872,8
2873,12
2874,6
2875,9
2876,7
2877,5
2878,12
2879,11
2880,10
2881,8
2882,8
2883,11
2884,9
2885,8
2886,9
2887,9
2888,9
2889,7
2890,12
2891,11
2892,7
2893,10
2894,8
2895,12
2896,9
2897,16
2898,11
2899,22
2900,16
2901,14
2902,10
2903,15
2904,14
2905,12
2906,12
2907,9
2908,13
2909,14
2910,12
2911,13
2912,12
2913,13
2914,13
2915,17
2916,9
2917,13
2918,11
2919,12
2920,14
2921,10
2922,11
2923,11
2924,14
2925,10
2926,9
2927,12
2928,10
2929,11
2930,12
2931,14
2932,14
2933,8
2934,12
2935,10
2936,9
2937,14
2938,1
2939,1
2940,17
2941,12
2942,11
2943,15
2944,0
2945,12
2946,13
2947,15
2948,9
2949,10
2950,14
2951,11
2952,12
2953,10
2954,11
2955,14
2956,13
2957,11
2958,10
2959,20
2960,13
2961,12
2962,11
2963,10
2964,15
2965,13
2966,13
2967,13
2968,10
2969,13
2970,6
2971,8
2972,11
2973,12
2974,6
2975,9
2976,4
2977,8
2978,9
2979,13
2980,13
2981,13
2982,11
2983,11
2984,7
2985,9
2986,8
2987,9
2988,10
2989,6
2990,9
2991,6
2992,7
2993,6
2994,5
